title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,listing_mode,scraped_date,url
750 Square Feet Spacious Flat Available In Bahria Town Phase 8 For rent,PKR 55 Thousand,55000,2,2,750 sqft,750.0,73,Flat,False,7,7Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_750_square_feet_spacious_flat_available_in_bahria_town_phase_8_for_rent-54272815-3048-4.html
"1000 Square Feet Flat Available For Rent In Bahria Business District, Rawalpindi",PKR 60 Thousand,60000,2,2,"1,000 sqft",1000.0,60,Flat,False,6,6Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_phase_8_bahria_business_district_1000_square_feet_flat_available_for_rent_in_bahria_business_district_rawalpindi-54291175-9033-4.html
1 Bedroom Furnished Apartments Available For Rent,PKR 50 Thousand,50000,50,1,600 sqft,600.0,83,Flat,False,15,15Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_1_bedroom_furnished_apartments_available_for_rent-54357323-3047-4.html
BRAND NEW APARTMENT FOR RENT,PKR 1 Lakh,100000,2,3,"1,900 sqft",1900.0,52,Flat,False,26,26Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_river_loft_brand_new_apartment_for_rent-53832457-16870-4.html
FURNISHED APARTMENT FOR RENT,PKR 2 Lakh,200000,2,3,"2,600 sqft",2600.0,76,Flat,True,21,21Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_furnished_apartment_for_rent-54498963-3047-4.html
Flat For Rent In Bahria Town Phase 7 Rawalpindi,PKR 27 Thousand,27000,1,1,550 sqft,550.0,49,Flat,False,6,6Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_flat_for_rent_in_bahria_town_phase_7_rawalpindi-53846271-3047-4.html
Flat For Rent In Bahria Town Phase 7 Rawalpindi,PKR 50 Thousand,50000,2,2,"1,000 sqft",1000.0,50,Flat,False,6,6Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_flat_for_rent_in_bahria_town_phase_7_rawalpindi-53889236-3047-4.html
Your Search Ends Right Here With The Beautiful Flat For Rent In Satellite Town At Affordable Price,PKR 55 Thousand,55000,2,2,900 sqft,900.0,61,Flat,False,6,6VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,88,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/rawalpindi_satellite_town_your_search_ends_right_here_with_the_beautiful_flat_for_rent_in_satellite_town_at_affordable_price-54415632-433-4.html
Get This Amazing 830 Square Feet Flat Available In Bahria Paradise,PKR 1.1 Lakh,110000,1,1,830 sqft,830.0,132,Flat,False,32,32Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_paradise_get_this_amazing_830_square_feet_flat_available_in_bahria_paradise-54497366-15450-4.html
Looking For A Flat In Bahria Business District Rawalpindi,PKR 35 Thousand,35000,2,2,874 sqft,874.0,40,Flat,False,8,8Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_phase_8_bahria_business_district_looking_for_a_flat_in_bahria_business_district_rawalpindi-54496822-9033-4.html
Ready To Buy A Flat 1300 Square Feet In Rawalpindi,PKR 35 Thousand,35000,2,2,"1,300 sqft",1300.0,26,Flat,False,9,9Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_phase_8_bahria_business_district_ready_to_buy_a_flat_1300_square_feet_in_rawalpindi-54496821-9033-4.html
1800 Sq Ft 2bed Flat For Rent Walking Distance Misjid Commercial And Park Left Instold Only Family,PKR 1 Lakh,100000,1,2,"1,800 sqft",1800.0,55,Flat,False,5,5Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_2_1800_sq_ft_2bed_flat_for_rent_walking_distance_misjid_commercial_and_park_left_instold_only_family-54311568-3035-4.html
Monthly Basis 2 Bed Fully Furnished Apartment Bahria Heights 7,PKR 1.5 Lakh,150000,1,3,"1,200 sqft",1200.0,125,Flat,False,14,14Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_heights_1_monthly_basis_2_bed_fully_furnished_apartment_bahria_heights_7-51611649-12199-4.html
Short Term Monthly Base 2 Bed Furnished Apartment For Rent Available,PKR 1.5 Lakh,150000,1,3,"1,200 sqft",1200.0,125,Flat,False,15,15Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_short_term_monthly_base_2_bed_furnished_apartment_for_rent_available-51671593-3047-4.html
Short Term Monthly Basis 2 Bed Fully Furnished Apartment For Rent Available,PKR 1.5 Lakh,150000,1,3,"1,200 sqft",1200.0,125,Flat,False,15,15Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_short_term_monthly_basis_2_bed_fully_furnished_apartment_for_rent_available-51681474-3047-4.html
Monthly Basis 1 Bed Fully Furnished Apartment Bahria Heights 7.,PKR 95 Thousand,95000,95,2,880 sqft,880.0,107,Flat,False,10,10Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_heights_monthly_basis_1_bed_fully_furnished_apartment_bahria_heights_7-53854129-8506-4.html
Luxurious Furnished 3 Bedrooms Apartment For Rent Bahria Town Phase 3,PKR 1.8 Lakh,180000,1,3,"1,900 sqft",1900.0,94,Flat,True,28,28Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_3_luxurious_furnished_3_bedrooms_apartment_for_rent_bahria_town_phase_3-53313506-3036-4.html
River Lofts 2 Bed Flat For Rent,PKR 1.1 Lakh,110000,1,3,"1,800 sqft",1800.0,61,Flat,False,16,16Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_river_loft_river_lofts_2_bed_flat_for_rent-52046142-16870-4.html
In Askari 3 Flat For Rent Sized 10 Marla,PKR 1.15 Lakh,114999,3,3,"2,250 sqft",2250.0,51,Flat,False,17,17Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/rawalpindi_askari_3_in_askari_3_flat_for_rent_sized_10_marla-54495040-8156-4.html
